#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_130200.1	Nuclear hormone receptor, ligand-binding domain	Ecdysone receptor DNA-binding domain {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_130220.1	Domain of unknown function DUF5742	DUF5742 
Smp_130230.1	Small GTPase	CDC42 {Human (Homo sapiens) [TaxId: 9606]}
Smp_130250.1	Protein kinase domain	DYRK2 DUAL-SPECIFICITY TYROSINE-PHOSPHORYLATION REGULATED KINASE
Smp_130260.1	Calponin homology domain	Fimbrin (Plastin), actin-crosslinking domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_130270.1	NA	U11/U12 SMALL NUCLEAR RIBONUCLEOPROTEIN 48
Smp_130270.2	NA	U11/U12 SMALL NUCLEAR RIBONUCLEOPROTEIN 48
Smp_130270.3	NA	BTB/POZ DOMAIN-CONTAINING ADAPTER FOR CUL3-MEDIATED
Smp_130280.1	EGF-like domain	Neurexin-1-alpha
Smp_130280.2	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_130280.3	EGF-like domain	Neurexin-1-alpha
Smp_130300.1	P-type ATPase	Na, K-ATPase alpha subunit, Na+,K+-ATPase
Smp_130330.1	NA	NA
Smp_130340.1	Phosphatidylinositol 3-/4-kinase, catalytic domain	Phosphatidylinositol 4-kinase III beta
Smp_130370.1	ELO family	Elongation of very long chain
Smp_130410.1	Dynein 1 light intermediate chain	ARP1 actin related protein 1
Smp_130430.1	Transcription initiation factor TFIID, 23-30kDa subunit	TATA-box Binding Protein (TBP), Transcriptional
Smp_130440.1	Zinc finger, LIM-type	49 protein
Smp_130450.1	NA	NA
Smp_130460.1	Conserved oligomeric Golgi complex, subunit 3	Sec34 
Smp_130470.1	SNF2, N-terminal	CHD1, chromatin remodeling, ATPase, DBD
Smp_130470.2	SNF2, N-terminal	CHD1, chromatin remodeling, ATPase, DBD
Smp_130480.1	Rab-GTPase-TBC domain	Shark TBC1D15 GTPase-activating Protein
Smp_130490.1	Ribosomal protein L55, mitochondrial	Mitoc_L55 
Smp_130500.1	NA	beta-sheet, cystine knot, cyclic backbone
Smp_130520.1	Prominin	Prominin 
Smp_130520.2	Prominin	Prominin 
Smp_130520.3	Prominin	Prominin 
Smp_130520.4	Prominin	Prominin 
Smp_130540.1	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_130580.1	PTB/PI domain	Disabled homolog 1 (Dab1) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_130590.1	FERM domain	E3 ubiquitin-protein ligase MYLIP (E.C.2.3.2.27)
Smp_130600.1	Zinc finger, RING-type	E3 ubiquitin-protein ligase ARIH1 (E.C.6.3.2.-)
Smp_130610.1	tRNA (guanine-N-7) methyltransferase, Trmb type	TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE (E.C.2.1.1.33)
Smp_130620.1	Asteroid	Exonuclease 1/DNA Complex
Smp_130630.1	Chromatin modification-related protein Eaf7/MRGBP	Eaf7 
Smp_130630.2	Chromatin modification-related protein Eaf7/MRGBP	Eaf7 
Smp_130630.3	Chromatin modification-related protein Eaf7/MRGBP	Eaf7 
Smp_130660.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_130680.1	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain	RBP2 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_130690.1	NA	SWIM 
Smp_130730.1	NA	NA
Smp_130750.1	WD40 repeat	CG6181-PA, ISOFORM A
Smp_130760.1	Forkhead-associated (FHA) domain	Probable regulatory protein EmbR, C-terminal domain {Mycobacterium tuberculosis [TaxId: 1773]}
Smp_130780.1	Major facilitator superfamily	Monocarboxylate transporter 1, Basigin
Smp_130790.1	Translational (tr)-type GTP-binding domain	Protein DOM34, 40S ribosomal protein
Smp_130790.2	Translational (tr)-type GTP-binding domain	uL2, Ul3, uL4, 60S ribosomal
Smp_130790.3	Translational (tr)-type GTP-binding domain	Protein DOM34, 40S ribosomal protein
Smp_130800.1	WD40/YVTN repeat-like-containing domain superfamily	A-SPECIFIC RIBONUCLEASE SUBUNIT PAN2 (E.C.3.1.13.4)
Smp_130810.1	AAA  ATPase domain	Tubulin beta, Tubulin alpha, Heavy
Smp_130840.1	KAT8 regulatory NSL complex subunit 3/Testis-expressed sequence 30 protein	Carboxylesterase SOBER1 (E.C.3.1.1.-)
Smp_130850.1	Ribosomal protein S19/S15	PROTEIN/RNA Complex
Smp_130890.1	Ion transport domain	nvTRPM2 channel
Smp_130900.1	Alpha-catenin	Catenin alpha-1, Actin, alpha skeletal
Smp_130910.1	PMP-22/EMP/MP20/Claudin superfamily	Clc-like 
Smp_130940.1	Target SNARE coiled-coil homology domain	Use1 
Smp_130950.1	NA	Insulin
Smp_130960.1	Dynein regulatory complex subunit 7	Peptidase_C71 
Smp_130980.1	Cyclin, N-terminal	Cyclin K
Smp_131000.1	SNF2, N-terminal	Histone H3, Histone H4, Histone
Smp_131020.1	EGF-like domain	Notch1, Dll4
Smp_131030.1	CSC1/OSCA1-like, 7TM region	Protein OSCA1
Smp_131050.1	Cyclic nucleotide-binding domain	A-kinase anchor protein 18, cAMP-dependent
Smp_131060.1	NA	DUF4515 
Smp_131070.1	Condensin subunit 1	Structural maintenance of chromosomes protein
Smp_131070.2	Condensin subunit 1	Structural maintenance of chromosomes protein
Smp_131070.3	Condensin subunit 1	Structural maintenance of chromosomes protein
Smp_131080.1	NA	NA
Smp_131100.1	RFT1	Rft-1 
Smp_131150.1	HRDC domain	Exosome complex
Smp_131160.1	NA	NA
Smp_131170.1	NA	NA
Smp_131220.1	Peptidase S8/S53 domain	Tripeptidyl-peptidase 2 (E.C.3.4.14.10)
Smp_131230.1	WD40 repeat	F-box/WD-repeat protein 1 (beta-TRCP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_131250.1	NDRG	Ndr 
Smp_131290.1	NA	SSP160 
Smp_131320.1	Zinc finger, PHD-type	Probable histone acetyltransferase MYST1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_131350.1	Bile acid	Transporter, sodium/bile acid symporter family
Smp_131360.1	ATP-dependent RNA helicase DEAD-box, conserved site	Probable ATP-dependent RNA helicase DDX48 {Human (Homo sapiens) [TaxId: 9606]}
Smp_131370.1	CAP domain	Ancylostoma secreted protein 2
Smp_131380.1	NA	NA
Smp_131390.1	Bromodomain	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_131390.2	Bromodomain	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_131400.1	Mannose-6-phosphate receptor binding domain superfamily	Alpha glucosidase II, Endoplasmic reticulum
Smp_131410.1	NA	BaxI_1 
Smp_131450.1	Ribosomal protein S3, C-terminal	Ribosome/Eukaryotic translation initiation factor 3
Smp_131460.1	Bestrophin	Bestrophin
Smp_131470.1	NA	Uncharacterized protein YetJ
Smp_131480.1	NA	NA
Smp_131490.1	NA	BsYetJ
Smp_131580.1	Glycoside hydrolase family 38, N-terminal domain	FAMILY 38 GLYCOYSL HYDROLASE, Glycosidase
Smp_131600.1	Cadherin-like	Protocadherin Gamma B7, Protein Pcdhgb7
Smp_131620.1	Forkhead-associated (FHA) domain	Kinesin-like protein kif1c {Human (Homo sapiens) [TaxId: 9606]}
Smp_131630.1	Protein kinase domain	RNase L
Smp_131640.1	RNA recognition motif domain	Nuclear ribonucleoprotein D0 (AUF1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_131650.1	PIN domain	TELOMERASE-BINDING PROTEIN EST1A (E.C.3.1.-.-)
Smp_131660.1	JAB1/MPN/MOV34 metalloenzyme domain	COP9 SIGNALOSOME COMPLEX SUBUNIT 1
Smp_131680.1	G-patch domain	Pre-mRNA-splicing factor ATP-dependent RNA helicase
Smp_131680.2	G-patch domain	Pre-mRNA-splicing factor ATP-dependent RNA helicase
Smp_131690.1	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_131700.1	C2 domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_131770.1	ATP-dependent RNA helicase DEAD-box, conserved site	S. cerevisiae, pre-A complex, Prp5
Smp_131770.2	ATP-dependent RNA helicase DEAD-box, conserved site	S. cerevisiae, pre-A complex, Prp5
Smp_131790.1	Cytochrome c oxidase, subunit VIb	ATPTB1, ATPTB6, ATPTB12, ATP synthase
Smp_131800.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_131810.1	GDP-fucose protein O-fucosyltransferase	GDP-FUCOSE PROTEIN O-FUCOSYLTRANSFERASE 2, THROMBOSPONDIN-1
Smp_131840.1	Tetraspanin, animals	CD9 antigen
Smp_131870.1	Sec1-like protein	Neuronal Sec1, NSec1 {Longfin inshore squid (Loligo pealei) [TaxId: 6621]}
Smp_131890.1	Sodium	Sodium-dependent serotonin transporter, 8B6 antibody
Smp_131940.1	Sterol-sensing domain	Protein patched homolog 1, nanobody
Smp_131950.1	IPT domain	Sec5 
Smp_131970.1	RNA recognition motif domain	Heterogeneous nuclear ribonucleoproteins C1/C2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_131980.1	G protein-coupled receptor, rhodopsin-like	Lysozyme,Proteinase-activated receptor 2,Soluble cytochrome b562,Proteinase-activated
Smp_131990.1	GAR domain	Growth-arrest-specific protein 2, GAS2 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_131990.2	GAR domain	Growth-arrest-specific protein 2, GAS2 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_132000.1	NA	NA
Smp_132010.1	NA	Pannexin
Smp_132020.1	WD40 repeat	ANAPHASE-PROMOTING COMPLEX SUBUNIT 1, ANAPHASE-PROMOTING
Smp_132030.1	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	RBP12 subunit of RNA polymerase II {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_132050.1	B30.2/SPRY domain	Vacuolar import and degradation protein
Smp_132060.1	DM DNA-binding domain	DM domain of Doublesex (dsx) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_132080.1	Major facilitator superfamily	Major Facilitator, Phosphate import, phosphate
Smp_132090.1	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_132120.1	NA	NA
Smp_132170.1	Zinc finger, PHD-type	Lysine-specific demethylase 4A (E.C.1.14.11.-)
Smp_132180.1	NA	NA
Smp_132200.1	Leucine-rich repeat	CD180 antigen, Lymphocyte antigen 86
Smp_132210.1	F-box domain	F-box/WD repeat-containing protein 7, FBXW7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_132230.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_132240.1	Anillin homology domain	Actin-binding protein anillin
Smp_132240.2	Anillin homology domain	Actin-binding protein anillin
Smp_132250.1	NA	NA
Smp_132260.1	Armadillo	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_132270.1	K Homology domain	PROTEIN-RNA COMPLEX, RNA-binding protein-RNA COMPLEX
Smp_132280.1	Thrombospondin type-1 (TSP1) repeat	Thrombospondin-1 (TSP-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_132300.1	Kinesin motor domain	Kinesin {Neurospora crassa [TaxId: 5141]}
Smp_132320.1	Cadherin-like	Protocadherin Gamma B7, Protein Pcdhgb7
Smp_132330.1	Small GTPase	Rab30 {Human (Homo sapiens) [TaxId: 9606]}
Smp_132340.1	NA	NA
Smp_132350.1	CCAAT-binding factor	60S ribosomal protein L13-A, 60S
Smp_132410.1	G protein-coupled receptor, rhodopsin-like	Lysozyme,Proteinase-activated receptor 2,Soluble cytochrome b562,Proteinase-activated
Smp_132450.1	BTB/POZ domain	BURRH
Smp_132470.1	Aspartic peptidase A1 family	Pepsin(ogen) {Human (Homo sapiens), progastricsin (pepsinogen C) [TaxId: 9606]}
Smp_132480.1	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_132540.1	EGF-type aspartate/asparagine hydroxylation site	Toll-like receptor 3
Smp_132550.1	Centrosomal protein POC5	NA
Smp_132590.1	CCAAT-binding factor	Periodic tryptophan protein 2-like protein
Smp_132610.1	NA	NA
Smp_132620.1	Fzo/mitofusin HR2 domain	Mitofusin-2,cDNA FLJ57997, highly similar to
Smp_132640.1	CDP-alcohol phosphatidyltransferase	CDP-OH_P_transf 
Smp_132660.1	Dbl homology (DH) domain	Protein-Protein complex, DH domain, PH
Smp_132670.1	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_132690.1	AAA  ATPase domain	RuvB-like 1 (E.C.3.6.4.12), RuvB-like 2
Smp_132700.1	Immunoglobulin subtype 2	Vascular endothelial growth factor receptor
Smp_132700.2	Immunoglobulin subtype 2	Vascular endothelial growth factor receptor
Smp_132730.1	G protein-coupled receptor, rhodopsin-like	Type-2 angiotensin II receptor,Soluble cytochrome
Smp_132740.1	Cytochrome b5-like heme/steroid binding domain	FA_desaturase 
Smp_132750.1	G-protein alpha subunit, group Q	G-protein alpha subunit Galpha7
Smp_132790.1	Myc-type, basic helix-loop-helix (bHLH) domain	Pho4 B/HLH domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_132800.1	Myc-type, basic helix-loop-helix (bHLH) domain	Pho4 B/HLH domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_132810.1	Myc-type, basic helix-loop-helix (bHLH) domain	Myc proto-oncogene protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_132830.1	Helix-loop-helix DNA-binding domain superfamily	Pho4 B/HLH domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_132850.1	Phospholipid/glycerol acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase (E.C.2.3.1.51)
Smp_132870.1	DnaJ domain	HSP40 {Human (Homo sapiens) [TaxId: 9606]}
Smp_132900.1	PNN-interacting serine/arginine-rich protein	PNISR 
Smp_132930.1	CUB domain	Gastric intrinsic factor, Cubilin
Smp_132940.1	PDZ domain	Arfaptin 
Smp_132990.1	PHD and RING finger domain-containing protein 1-like	Glutamate dehydrogenase {Cow (Bos taurus) [TaxId: 9913]}
Smp_133020.1	Protein kinase domain	MAP kinase p38-gamma {Human (Homo sapiens) [TaxId: 9606]}
Smp_133030.1	NA	bcl-3 {Human (Homo sapiens) [TaxId: 9606]}
Smp_133050.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_133080.1	Cupredoxin	ephrinB2 ectodomain, NMR solution structure
Smp_133090.1	Cupredoxin	ephrinB2 ectodomain, NMR solution structure
Smp_133110.1	Pre-mRNA-splicing factor 38	Pre-mRNA-splicing factor 38A
Smp_133120.1	ATP-dependent RNA helicase DEAD-box, conserved site	Small nuclear ribonucleoprotein Sm D1
Smp_133150.1	Conserved oligomeric Golgi complex subunit 5	Cog7, Cog5
Smp_133170.1	Tubulinyl-Tyr carboxypeptidase	Tubulinyl-Tyr carboxypeptidase 1 (E.C.3.4.17.17), Small
Smp_133210.1	Glycoside hydrolase family 31	Lysosomal alpha-glucosidase (E.C.3.2.1.20)
Smp_133250.1	Coagulation factor 5/8 C-terminal domain	Epithelial discoidin domain-containing receptor 1
Smp_133260.1	NA	ORF 131
Smp_133270.1	Sel1-like repeat	Hrd3, Protein OS-9 homolog
Smp_133280.1	Arginine-tRNA ligase	Aminoacyl tRNA synthase complex-interacting multifunctional
Smp_133300.1	Xrn1, N-terminal	Crystal Structure of the S.
Smp_133310.1	NA	NA
Smp_133330.1	Metallo-dependent phosphatase-like	Acid sphingomyelinase-like phosphodiesterase 3a (E.C.3.1.4.-)
Smp_133340.1	NA	NA
Smp_133350.1	GTP binding domain	pre-60S ribosomal subunit
Smp_133370.1	Tetratricopeptide-like helical domain superfamily	Iml2-TPR_39 
Smp_133380.1	Histidine phosphatase superfamily, clade-1	Phosphoglycerate mutase (E.C.5.4.2.11,5.4.2.4)
Smp_133400.1	NA	Stevor 
Smp_133420.1	Protein kinase domain	Casein kinase-1, CK1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_133450.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_133470.1	RNA recognition motif domain	RNA-binding protein 28 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_133490.1	Protein kinase domain	MAP kinase p38-gamma {Human (Homo sapiens) [TaxId: 9606]}
Smp_133530.1	WW domain	Yap65 ww domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_133580.1	NA	NA
Smp_133590.1	C2 domain	Multiple C2 and transmembrane domain-containing protein 2, MCTP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_133590.2	C2 domain	Multiple C2 and transmembrane domain-containing protein 2, MCTP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_133590.3	C2 domain	Multiple C2 and transmembrane domain-containing protein 2, MCTP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_133600.1	UDPGP family	UDP-glucose pyrophosphorylase 2 (UDPGP 2) {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_133620.1	Sterile alpha motif domain	von Willebrand factor binding domain of glycoprotein Ib alpha {Human (Homo sapiens) [TaxId: 9606]}
Smp_133660.1	Protein LIN-9/Protein ALWAYS EARLY	Cell division, Histone binding, transcription
Smp_133690.1	Coagulation factor 5/8 C-terminal domain	C2 domain of factor VIII {Human (Homo sapiens) [TaxId: 9606]}
Smp_133700.1	UDP-glucose	UDP-glucose-glycoprotein glucosyltransferase-like protein
Smp_133710.1	Importin-beta, N-terminal domain	MGC52556 protein, Importin subunit beta-1
Smp_133720.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_133740.1	Mediator complex, subunit Med23	Med23 
Smp_133770.1	Glutamine synthetase, catalytic domain	Glutamine synthetase (E.C.6.3.1.2)
Smp_133790.1	Rab-GTPase-TBC domain	RabGAP/TBC protein
Smp_133800.1	NA	DUF5537 
Smp_133820.1	WD40 repeat	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_133830.1	NA	NA
Smp_133850.1	Trimeric LpxA-like superfamily	Dynactin subunit 6
Smp_133860.1	Mediator complex, subunit Med18	Mediator of RNA polymerase II
Smp_133890.1	Tryptophan/Indoleamine 2,3-dioxygenase-like	Indoleamine 2,3-dioxygenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_133900.1	Indoleamine 2,3-dioxygenase	Indoleamine 2,3-dioxygenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_133940.1	Matrin/U1-C, C2H2-type zinc finger	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_133950.1	NA	NA
Smp_133990.1	BRCT domain	DNA topoisomerase II binding protein
Smp_134010.1	Zinc finger, ZPR1-type	Zinc finger protein ZPR1
Smp_134020.1	Tetratricopeptide-like helical domain superfamily	Anaphase-promoting complex subunit 10, Anaphase-promoting
Smp_134040.1	Ets domain	Elk-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_134050.1	von Willebrand factor, type A	Voltage-dependent L-type calcium channel subunit
Smp_134060.1	WD40 repeat	40S ribosomal protein S1-A, 40S
Smp_134080.1	Sodium/solute symporter	glucose transporter, SGLT2, SGLT, TRANSPORT
Smp_134090.1	DNA recombination and repair protein Rad51-like, C-terminal	DNA repair protein Rad51, catalytic domain {Archaeon Methanococcus voltae [TaxId: 2188]}
Smp_134100.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_134140.1	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	Phosphodiesterase (E.C.3.1.4.53 )
Smp_134140.2	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	Phosphodiesterase (E.C.3.1.4.53 )
Smp_134160.1	SLC26A/SulP transporter	Solute carrier family 12 member
Smp_134230.1	Polyprenyl synthetase	Geranylgeranyl pyrophosphate synthetase {Human (Homo sapiens) [TaxId: 9606]}
Smp_134230.2	Polyprenyl synthetase	Geranylgeranyl pyrophosphate synthetase {Human (Homo sapiens) [TaxId: 9606]}
Smp_134250.1	Sulfotransferase domain	HSNSD 
Smp_134250.2	Heparan sulphate-N-deacetylase	HSNSD 
Smp_134260.1	Protein kinase domain	MAP kinase p38-gamma {Human (Homo sapiens) [TaxId: 9606]}
Smp_134290.1	EF-hand domain pair	Eps15 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_134300.1	Glycoside hydrolase family 20, catalytic domain	beta-hexosaminidase A {Human (Homo sapiens) [TaxId: 9606]}
Smp_134350.1	G protein-coupled receptor, rhodopsin-like	Cysteinyl leukotriene receptor 2,Soluble cytochrome
Smp_134360.1	CDK5 and ABL1 enzyme substrate 1/2	Cyclin H (mcs2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_134370.1	RNA 3'-terminal phosphate cyclase	Ribosomal assembly intermediate, RIBOSOME
Smp_134390.1	Membrane bound O-acyl transferase, MBOAT	Sterol O-acyltransferase 1 (E.C.2.3.1.26)
Smp_134410.1	Major facilitator superfamily	Monocarboxylate transporter 1, Basigin
Smp_134410.2	MFS transporter superfamily	Monocarboxylate transporter 1, Basigin
Smp_134410.3	Major facilitator superfamily	Monocarboxylate transporter 1, Basigin
Smp_134440.1	Malic oxidoreductase	NAD-dependent malic enzyme, mitochondrial (E.C.1.1.1.39)
Smp_134450.1	von Willebrand factor A-like domain superfamily	Sec23_trunk 
Smp_134460.1	G protein-coupled receptor, rhodopsin-like	G protein coupled receptor, T4
Smp_134470.1	EF-hand domain	Myosin Regulatory Chain {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_134470.2	EF-hand domain	Myosin Regulatory Chain {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_134480.1	Proline-rich protein PRCC	PRCC 
Smp_134490.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor RXR-alpha, Peroxisome
Smp_134500.1	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	Catalytic domain of cyclic nucleotide phosphodiesterase 1b, PDE1B {Human (Homo sapiens) [TaxId: 9606]}
Smp_134510.1	Mitochondrial ATPase inhibitor	PSK
Smp_134530.1	Organic anion transporter polypeptide	ion channel, membrane protein, calcium
Smp_134540.1	NA	D(3) dopamine receptor, Guanine nucleotide-binding
Smp_134550.1	NA	NA
Smp_134580.1	NA	LeinA.18749.a (E.C.2.6.1.5)
Smp_134600.1	C2 domain	Synaptic Transmission, Munc13, Membrane Fusion
Smp_134640.1	NA	NA
Smp_134660.1	Radial spokehead-like protein	Radial spoke head protein 4
Smp_134670.1	Rap/Ran-GAP domain	PROTEIN
Smp_134690.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_134720.1	MFS transporter superfamily	MFS-fold, galactoside binding, secondary active
Smp_134790.1	TAFII28-like protein domain	TAF(II)28 {Human (Homo sapiens) [TaxId: 9606]}
Smp_134800.1	Protein kinase domain	Tyrosine-protein kinase ZAP-70 {Human (Homo sapiens) [TaxId: 9606]}
Smp_134820.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_134860.1	HEAT repeat	SERINE/THREONINE-PROTEIN KINASE TOR2, TARGET OF
Smp_134870.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_134880.1	Snurportin-1	Transport, Cytoplasm, Nucleus, RNA-binding, Acetylation
Smp_134910.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_134930.1	NA	NA
Smp_134940.1	GTP binding domain	YqeH GTPase
Smp_134950.1	ATP-dependent RNA helicase DEAD-box, conserved site	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_134960.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_134980.1	Major facilitator superfamily	Solute carrier family 2, facilitated
Smp_135010.1	Major facilitator superfamily	Solute carrier family 2, facilitated
Smp_135020.1	Major facilitator superfamily	Solute carrier family 2, facilitated
Smp_135030.1	NA	DegV family protein
Smp_135040.1	Neurotransmitter-gated ion-channel	Neuronal acetylcholine receptor subunit alpha-4
Smp_135040.2	Neurotransmitter-gated ion-channel	Neuronal acetylcholine receptor subunit alpha-4
Smp_135080.1	Microtubule associated protein 1	Teichoic acid phosphorylcholine esterase Pce (LytD), N-terminal domain {Streptococcus pneumoniae [TaxId: 1313]}
Smp_135100.1	NAD(P)-binding domain	UDP-glucuronate decarboxylase 1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_135120.1	WD40 repeat	60S ribosomal protein L13-A, 60S
Smp_135130.1	Protein FAM221A/B	FAM221 
Smp_135140.1	Voltage-dependent calcium channel, L-type, beta subunit	Guanylate kinase-like domain of the L-type calcium channel {Rabbit (Oryctolagus cuniculus) [TaxId: 9986]}
Smp_135145.1	NA	OXALATE DECARBOXYLASE OXDC (E.C.4.1.1.2)
Smp_135160.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pyst1 (mkp3) [TaxId: 9606]}
Smp_135170.1	Cilia- and flagella-associated protein 206	FAP206 
Smp_135200.1	NA	NA
Smp_135210.1	EGF-type aspartate/asparagine hydroxylation site	Delta-like ligand 1
Smp_135230.1	Pyridoxal phosphate-dependent decarboxylase	DOPA decarboxylase {Pig (Sus scrofa) [TaxId: 9823]}
Smp_135240.1	NA	NA
Smp_135250.1	PLAC8 motif-containing protein	PLAC8 
Smp_135270.1	Armadillo-like helical	DUF5578 
Smp_135280.1	Sec7 domain	Sec7
Smp_135300.1	NA	TALPID3 
Smp_135320.1	NA	Elongation factor eEF-1alpha, domain 2 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_135350.1	NA	SMOOTH MUSCLE MYOSIN HEAVY CHAIN/SMOOTH
Smp_135380.1	Zinc finger C2H2-type	PR domain zinc finger protein
Smp_135390.1	NA	NA
Smp_135460.1	NA	PL48 
Smp_135470.1	Alpha carbonic anhydrase domain	Carbonic anhydrase {Rat (Rattus norvegicus), isozyme III [TaxId: 10116]}
Smp_135480.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_135490.1	Multi antimicrobial extrusion protein	Protein DETOXIFICATION
Smp_135500.1	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	cGMP-dependent 3',5'-cyclic phosphodiesterase (E.C.3.1.4.17)
Smp_135510.1	Peptidase M28	Glutamate carboxypeptidase II (E.C.3.4.17.21)
Smp_135540.1	NA	D(3) dopamine receptor, Guanine nucleotide-binding
Smp_135550.1	Leucine-rich repeat	Ribonuclease inhibitor {Human (Homo sapiens) [TaxId: 9606]}
Smp_135560.1	Fibrillar collagen, C-terminal	Collagen alpha-1(I) chain, Collagen alpha-2(I)
Smp_135570.1	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_135570.2	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
