#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_136580.2	Exocyst complex component Exo70	Exocyst complex component EXO70 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_136580.3	Exocyst complex component Exo70	TIB-55 BB88 cDNA, RIKEN full-length
Smp_136580.4	Exocyst complex component Exo70	Exocyst complex component EXO70 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_136590.1	Mitochondrial cytochrome c oxidase subunit VIc/VIIs	COX6C 
Smp_136620.1	NA	NA
Smp_136640.1	EF-hand domain	Grancalcin {Human (Homo sapiens) [TaxId: 9606]}
Smp_136660.1	EGF-like domain	Neural cell adhesion molecule (NCAM) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136660.2	EGF-like domain	Neural cell adhesion molecule (NCAM) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136690.1	Cholinesterase	Butyryl cholinesterase {Human (Homo sapiens) [TaxId: 9606]}
Smp_136700.1	NA	NA
Smp_136710.1	P-type ATPase	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
Smp_136710.2	P-type ATPase	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
Smp_136710.3	P-type ATPase	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
Smp_136730.1	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_136740.1	ClpA/B family	ClpB, AAA+ modules {Thermus thermophilus [TaxId: 274]}
Smp_136760.1	NA	hypothetical protein YugE {Bacillus stearothermophilus [TaxId: 1422]}
Smp_136770.1	BCL7	BCL_N 
Smp_136780.1	Ubiquitin domain	Ubiquitin-like protein bab25500 (2010008E23Rik) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136780.2	Ubiquitin domain	Ubiquitin-like protein bab25500 (2010008E23Rik) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136850.1	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_136860.1	NA	Factor IX (IXa) {Human (Homo sapiens) [TaxId: 9606]}
Smp_136870.1	Universal stress protein A family	Hypothetical protein TTHA0895 {Thermus thermophilus [TaxId: 274]}
Smp_136910.1	DnaJ domain	DnaJ homolog dnj-2
Smp_136920.1	Glycosyltransferase 2-like	Polypeptide N-acetylgalactosaminyltransferase 1, N-terminal domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136930.1	Alpha crystallin/Hsp20 domain	SMALL HEAT SHOCK PROTEIN
Smp_136950.1	NA	zf-CCHC_3 
Smp_136950.2	NA	TAF1, Transcription initiation factor TFIID
Smp_136970.1	RecF/RecN/SMC, N-terminal	Structural maintenance of chromosomes protein
Smp_136980.1	RAVE subunit 2/Rogdi	Protein rogdi homolog
Smp_136990.1	Dynactin subunit p22	Dynactin_p22 
Smp_137000.1	Mitochondrial substrate/solute carrier	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_137020.1	Phosphatidylinositol transfer protein	Phoshatidylinositol transfer protein, PITP {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_137040.1	HECT domain	WW domain-containing protein 1, WWP1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137050.1	G protein-coupled receptor, rhodopsin-like	7tm_1 
Smp_137080.1	ABC transporter-like	Peptide transporter Tap1, C-terminal ABC domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_137080.2	ABC transporter-like	Bile salt export pump (E.C.7.6.2.-)
Smp_137080.3	ABC transporter-like	Bile salt export pump (E.C.7.6.2.-)
Smp_137090.1	Zinc finger, RING-type	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_137100.1	NA	NA
Smp_137110.1	Sterile alpha motif domain	Polycomb protein Scm {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_137110.2	Sterile alpha motif domain	entity_1, Zinc finger protein DPF3
Smp_137120.1	NA	PROTEIN/DNA Complex
Smp_137160.1	EF-hand domain	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_137180.1	NA	NA
Smp_137190.1	Frataxin/CyaY	C-terminal domain of frataxin {Human (Homo sapiens) [TaxId: 9606]}
Smp_137210.1	WD40-repeat-containing domain superfamily	Coatomer beta'-subunit, Coatomer subunit alpha
Smp_137250.1	NA	NA
Smp_137280.1	Coiled-coil domain-containing protein 87	Protein regulator of cytokinesis 1
Smp_137280.2	Coiled-coil domain-containing protein 87	Protein regulator of cytokinesis 1
Smp_137300.1	G protein-coupled receptor, rhodopsin-like	7TM_GPCR_Srw 
Smp_137310.1	G protein-coupled receptor, rhodopsin-like	7TM_GPCR_Srw 
Smp_137320.1	G protein-coupled receptor, rhodopsin-like	Srg 
Smp_137330.1	RNA recognition motif domain	L-serine dehydratase {Human (Homo sapiens) [TaxId: 9606]}
Smp_137360.1	NA	Collectrin 
Smp_137380.1	Forkhead-associated (FHA) domain	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_137390.1	Histone RNA stem-loop-binding protein SLBP1/SLBP2	SLBP/RNA Complex
Smp_137400.1	NA	Brain-specific angiogenesis inhibitor 1-associated protein
Smp_137410.1	Cysteine peptidase, cysteine active site	M-CALPAIN LARGE AND SMALL SUBUNITS
Smp_137410.2	EF-hand domain pair	M-CALPAIN LARGE AND SMALL SUBUNITS
Smp_137410.3	Cysteine peptidase, cysteine active site	Calpain large subunit, catalytic domain (domain II) {Rat (Rattus norvegicus), mu-type [TaxId: 10116]}
Smp_137530.1	TATA element modulatory factor 1, TATA binding	TMF_TATA_bd 
Smp_137540.1	FAD/NAD-linked reductase, dimerisation domain superfamily	APOPTOSIS-INDUCING FACTOR 1, MITOCHONDRIAL (E.C.1.1.1.-)
Smp_137580.1	Helicase, C-terminal	ANTIVIRAL HELICASE SKI2 (E.C.3.6.4.13)
Smp_137590.1	Ribosomal RNA methyltransferase FtsJ domain	Regulator of Ty1 transposition protein
Smp_137600.1	NA	YARHG 
Smp_137610.1	FERM domain	Tyrosine-protein kinase ZAP-70 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137610.2	Protein kinase domain	Tyrosine-protein kinase ZAP-70 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137640.1	NA	NA
Smp_137650.1	Exportin-1/Importin-beta-like	Chromosome region maintenance 1 (CRM1)
Smp_137660.1	Kinesin motor domain	Kinesin {Human (Homo sapiens) [TaxId: 9606]}
Smp_137690.1	PDZ superfamily	KIAA1526 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137700.1	Saposin B type domain	SAPOSIN-B
Smp_137710.1	Major facilitator superfamily	Di-or tripeptide:H+ symporter
Smp_137720.1	Saposin B type domain	Proactivator polypeptide
Smp_137740.1	Glycosyl transferase family 10	Glyco_transf_10 
Smp_137740.2	Glycosyl transferase family 10	Glyco_transf_10 
Smp_137740.3	Glycosyl transferase family 10	Glyco_transf_10 
Smp_137740.4	Glycosyl transferase family 10	Glyco_transf_10 
Smp_137750.1	EF-hand domain	X-RAY STRUCTURE AN EF-HAND PROTEIN
Smp_137800.1	AAA  ATPase domain	Replication factor C1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137800.2	AAA  ATPase domain	Replication factor C1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137810.1	NA	NA
Smp_137840.1	NA	NA
Smp_137840.2	NA	NA
Smp_137840.3	NA	PHM7_cyt 
Smp_137840.4	NA	PHM7_cyt 
Smp_137850.1	NA	NA
Smp_137860.1	NA	Dynein light chain Tctex-type, Dynein
Smp_137870.1	Steroidogenic acute regulatory protein-like	Lipid transport domain of Mln64 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137870.2	Steroidogenic acute regulatory protein-like	MENTAL 
Smp_137870.3	Steroidogenic acute regulatory protein-like	Lipid transport domain of Mln64 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137870.4	Steroidogenic acute regulatory protein-like	Lipid transport domain of Mln64 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137870.5	MENTAL domain	MENTAL 
Smp_137890.1	ABC transporter-like	ATP-binding cassette sub-family G member
Smp_137890.2	ABC transporter-like	ATP-binding cassette sub-family G member
Smp_137890.3	ABC transporter-like	ATP-binding cassette sub-family G member
Smp_137910.1	ZU5 domain	DISKS LARGE HOMOLOG 4
Smp_137920.1	Glutathione S-transferase, C-terminal domain superfamily	Chloride intracellular channel 1 (clic1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_137930.1	NA	DUF3827 
Smp_137940.1	Guanylate kinase-like domain	Guanylate kinase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137950.1	Leucine-rich repeat domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137950.2	Leucine-rich repeat domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137970.1	Zinc finger, PHD-type	Protein AF-10
Smp_137980.1	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Srw 
Smp_137990.1	Synaphin	SYNAPTOBREVIN/S-SYNTAXIN/S-SNAP25 FUSION PROTEIN/SYNAPHIN A
Smp_138000.1	NA	DUF5631 
Smp_138010.1	HSP20-like chaperone	Suppressor of G2 allele of skp1 homolog, gst1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138030.1	SET domain	Histone H3, Histone H4, Histone
Smp_138050.1	RNA recognition motif domain	Polypyrimidine tract-binding protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_138060.1	NA	CATIONIC TRYPSIN (E.C.3.4.21.4), VERONICA HEDERIFOLIA
Smp_138070.1	NA	Myticin-prepro 
Smp_138070.2	NA	Myticin-prepro 
Smp_138080.1	NA	Myticin-prepro 
Smp_138110.1	Helix-turn-helix motif	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138130.1	NA	nsp16 (E.C.3.4.19.12,3.4.22.-,3.4.22.69,2.7.7.48,3.6.4.12,3.6.4.13,3.1.13.-,3.1.-.-,2.1.1.-), nsp10 (E.C.3.4.19.12,3.4.22.-,3.4.22.69,2.7.7.48,3.6.4.12,3.6.4.13,3.1.13.-,3.1.-.-,2.1.1.-)
Smp_138140.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138150.1	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_138160.1	BCP1 family	BCIP 
Smp_138180.1	Methyl-CpG DNA binding	MBD_C 
Smp_138200.1	Armadillo-type fold	DUF2428 
Smp_138200.2	Armadillo-type fold	DUF2428 
Smp_138200.3	Armadillo-type fold	DUF2428 
Smp_138210.1	Alpha crystallin/Hsp20 domain	SMALL HEAT SHOCK PROTEIN
Smp_138220.1	NA	Enhancer of mRNA-decapping protein 3
Smp_138230.1	DM DNA-binding domain	human DmrT1/DNA Complex
Smp_138240.1	Zinc finger, double-stranded RNA binding	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_138280.1	Ribonuclease III domain	28S ribosomal protein S2, mitochondrial
Smp_138280.2	NA	28S ribosomal protein S2, mitochondrial
Smp_138280.3	Ribonuclease III domain	28S ribosomal protein S2, mitochondrial
Smp_138290.1	Dynein light chain, type 1/2	DYNEIN LIGHT CHAIN 2, CYTOPLASMIC
Smp_138300.1	Tetraspanin, EC2 domain superfamily	CD81 antigen
Smp_138300.2	Tetraspanin, EC2 domain superfamily	Tetraspanin 
Smp_138310.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_138310.2	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_138320.1	NA	NA
Smp_138330.1	Tetraspanin, EC2 domain superfamily	CD81 antigen
Smp_138340.1	Zinc finger C2H2-type	Transcriptional repressor CTCF {Human (Homo sapiens) [TaxId: 9606]}
Smp_138350.1	Zinc finger C2H2-type	NOA36 
Smp_138430.1	DEP domain	Regulator of G-protein signaling 7
Smp_138470.1	NA	Type-2 restriction enzyme DpnI (E.C.3.1.21.4)/DNA
Smp_138480.1	NEMP family	NEMP 
Smp_138500.1	Arf GTPase activating protein	Ras-related protein Rab-35, Iporin
Smp_138510.1	NA	NA
Smp_138520.1	Drought induced 19 protein type, zinc-binding domain	Zinc finger protein 568/DNA Complex
Smp_138520.2	Drought induced 19 protein type, zinc-binding domain	Zinc finger protein 568/DNA Complex
Smp_138580.1	NA	GsI-IIC RT/DNA Complex
Smp_138590.1	Hydroxymethylglutaryl-CoA reductase, class I/II	HUMAN HMG-COA REDUCTASE WITH HMG
Smp_138590.2	Hydroxymethylglutaryl-CoA reductase, class I/II	Substrate-binding domain of HMG-CoA reductase {Human (Homo sapiens) [TaxId: 9606]}
Smp_138590.3	Hydroxymethylglutaryl-CoA reductase, class I/II	HUMAN HMG-COA REDUCTASE WITH HMG
Smp_138590.4	NA	NA
Smp_138590.5	Hydroxymethylglutaryl-CoA reductase, class I/II	Substrate-binding domain of HMG-CoA reductase {Human (Homo sapiens) [TaxId: 9606]}
Smp_138600.1	SBF1/SBF2 domain	SBF2 
Smp_138600.2	SBF1/SBF2 domain	SBF2 
Smp_138610.1	BRCT domain	Transformation related protein 53 binding
Smp_138610.2	BRCT domain	Transformation related protein 53 binding
Smp_138640.1	Sirtuin family	NAD-dependent protein deacetylase sirtuin-1 (E.C.3.5.1.-)
Smp_138680.1	Tetratricopeptide repeat 1	DNAJ HOMOLOG SUBFAMILY C MEMBER
Smp_138690.1	Leucine-rich repeat	Polygalacturonase inhibiting protein PGIP {Kidney bean (Phaseolus vulgaris) [TaxId: 3885]}
Smp_138690.2	Leucine-rich repeat	PROTEIN
Smp_138690.3	NA	COR 
Smp_138690.4	Leucine-rich repeat	PROTEIN
Smp_138720.1	Protein of unknown function DUF1759	DUF1759 
Smp_138750.1	Glycosyltransferase family 23 (GT23) domain	Alpha-(1,6)-fucosyltransferase (E.C.2.4.1.68)
Smp_138750.2	NA	DUF2621 
Smp_138760.1	NUDIX hydrolase domain	NUDT9 (mitochondrial ADP-ribose pyrophosphatase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_138760.2	NUDIX hydrolase domain	NUDT9 (mitochondrial ADP-ribose pyrophosphatase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_138760.3	NUDIX hydrolase domain	NUDT9 (mitochondrial ADP-ribose pyrophosphatase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_138770.1	Histone deacetylase family	HDAC6
Smp_138810.1	Frag1/DRAM/Sfk1	Frag1 
Smp_138810.2	Frag1/DRAM/Sfk1	Frag1 
Smp_138810.3	Post-GPI attachment to proteins factor 2	Frag1 
Smp_138840.1	Target SNARE coiled-coil homology domain	Vps45, Tlg2 Qa SNARE
Smp_138840.2	Target SNARE coiled-coil homology domain	Vps45, Tlg2 Qa SNARE
Smp_138850.1	SH2 domain	Hematopoietic SH2 domain containing protein HSH2D {Human (Homo sapiens) [TaxId: 9606]}
Smp_138850.2	SH2 domain	Hematopoietic SH2 domain containing protein HSH2D {Human (Homo sapiens) [TaxId: 9606]}
Smp_138860.1	Clathrin/coatomer adaptor, adaptin-like, N-terminal	Adaptin alpha C subunit N-terminal fragment {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138880.1	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138880.2	NA	NA
Smp_138880.3	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138890.1	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138890.2	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138890.3	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138900.1	Sterile alpha motif domain	Ankyrin repeat and sterile alpha
Smp_138920.1	Proteasome component (PCI) domain	COP9 SIGNALOSOME COMPLEX SUBUNIT 1
Smp_138930.1	Glutamyl/glutaminyl-tRNA synthetase	Bifunctional glutamate/proline--tRNA ligase (E.C.6.1.1.17,6.1.1.15)
Smp_139010.1	NA	LPS-assembly protein LptD, LPS-assembly lipoprotein
Smp_139030.1	NA	Histone deacetylase HDA1 (E.C.3.5.1.98)
Smp_139030.2	NA	Arb2 
Smp_139030.3	NA	Histone deacetylase HDA1 (E.C.3.5.1.98)
Smp_139030.4	NA	Arb2 
Smp_139060.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_139060.2	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_139060.3	NA	OPTINEURIN
Smp_139070.1	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139070.2	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139080.1	Bestrophin	Bestrophin
Smp_139080.2	Bestrophin	Bestrophin
Smp_139090.1	PLAT/LH2 domain	Ras-related protein Rab-6A, Rab6-interacting protein
Smp_139100.1	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.2	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.3	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.4	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.5	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.6	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.7	NA	DUF4140 
Smp_139140.1	NA	NA
Smp_139150.1	Major facilitator superfamily	L-fucose-proton symporter
Smp_139150.2	Major facilitator superfamily	L-fucose-proton symporter
Smp_139150.3	Major facilitator superfamily	L-fucose-proton symporter
Smp_139180.1	Frizzled/Smoothened, transmembrane domain	anti-BRIL Fab Heavy chain, anti-Fab
Smp_139200.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor gamma
Smp_139240.1	Peptidase C1A, papain C-terminal	(Pro)cathepsin L {Human (Homo sapiens) [TaxId: 9606]}
Smp_139250.1	WD40 repeat	Cdc4 propeller domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_139330.1	Nicotinic acetylcholine receptor	Acetylcholine receptor subunit alpha, Acetylcholine
Smp_139340.1	Small GTPase	Rab27b {Human (Homo sapiens) [TaxId: 9606]}
Smp_139360.1	Zinc finger, nuclear hormone receptor-type	Retinoic acid receptor RXR-alpha, Liver
Smp_139360.2	Zinc finger, nuclear hormone receptor-type	Retinoic acid receptor RXR-alpha, Liver
Smp_139380.1	NA	NA
Smp_139410.1	Calmodulin-binding domain	Intermediate conductance calcium-activated potassium channel
Smp_139420.1	NA	Hypothetical  kinase-like protein Aq_1292 {Aquifex aeolicus [TaxId: 63363]}
Smp_139420.2	NA	Hypothetical  kinase-like protein Aq_1292 {Aquifex aeolicus [TaxId: 63363]}
Smp_139430.1	Oxysterol-binding protein	glycolipid transfer-like protein
Smp_139430.2	Oxysterol-binding protein	HET-C2
Smp_139450.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_139470.1	SH2 domain	Tyrosine kinase Fyn {Human (Homo sapiens) [TaxId: 9606]}
Smp_139470.2	SH2 domain	Tyrosine kinase Fyn {Human (Homo sapiens) [TaxId: 9606]}
Smp_139470.3	NA	NA
Smp_139480.1	Protein kinase domain	ephb2 receptor tyrosine kinase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_139480.2	Protein kinase domain	Tyrosine-protein kinase SYK {Human (Homo sapiens) [TaxId: 9606]}
Smp_139500.1	NA	MYEOV2 
Smp_139520.1	SH3 domain	Hypothetical protein FLJ21935
Smp_139520.2	SH3 domain	Hypothetical protein FLJ21935
Smp_139530.1	p53 tumour suppressor family	p53 tumor suppressor, DNA-binding domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139540.1	NA	NA
Smp_139580.1	NA	Ribonucleases P/MRP protein subunit POP6
Smp_139590.1	NA	NPL4
Smp_139600.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_139620.1	PDZ domain	Glutamate receptor interacting protein 2, GRIP2 (KIAA1719) {Human (Homo sapiens) [TaxId: 9606]}
Smp_139650.1	AN1-like Zinc finger	zf-AN1 
Smp_139680.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_139720.1	Zinc/iron permease	Zip 
Smp_139760.1	Kinesin light chain	NaB(AB)3ACb - putative P. anserina
Smp_139780.1	NA	KcnmB2_inactiv 
Smp_139800.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_139800.2	NA	30S ribosomal protein S2, 30S
Smp_139800.3	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_139840.1	Pancreatic trypsin inhibitor Kunitz domain	Trypsin inhibitor {Sea anemone (Stichodactyla helianthus) [TaxId: 6123]}
Smp_139900.1	Histidine phosphatase superfamily, clade-2	Prostatic acid phosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_139930.1	PTP type protein phosphatase	Tyrosine phosphatase {Human (Homo sapiens), 1B [TaxId: 9606]}
Smp_139930.2	NA	Tyrosine phosphatase {Mouse (Mus musculus), ptp-sl/br7 [TaxId: 10090]}
Smp_139940.1	POU-specific domain	Oct-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_139970.1	EF-hand domain	Calcium-dependent protein kinase sk5 CLD {Soybean (Glycine max) [TaxId: 3847]}
Smp_139970.2	EF-hand domain	Calmodulin-related protein T21P5.17 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_139980.1	NA	NA
Smp_139980.2	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_139980.3	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_140000.1	Tetraspanin, EC2 domain superfamily	Tetraspanin 
Smp_140020.1	C2 domain superfamily	PI-specific phospholipase C isozyme D1 (PLC-D1), C-terminal domain {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140020.2	C2 domain superfamily	PI-specific phospholipase C isozyme D1 (PLC-D1), C-terminal domain {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140030.1	Intraflagellar transport protein 74	Intraflagellar transport protein 22
Smp_140040.1	Adenylyl cyclase class-3/4/guanylyl cyclase	Adenylyl cyclase IIC1, domain C2a {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140040.2	Adenylyl cyclase class-3/4/guanylyl cyclase	Adenylyl cyclase IIC1, domain C2a {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140080.1	Protein of unknown function DUF1682	DUF1682 
Smp_140080.2	Protein of unknown function DUF1682	DUF1682 
Smp_140100.1	Matrin/U1-C-like, C2H2-type zinc finger	Nuclear factor 90/RNA Complex
Smp_140110.1	Immunoglobulin-like fold	Uncharacterized protein
Smp_140120.1	YTH domain	YTH domain-containing family protein 2
Smp_140120.2	YTH domain	YTH domain-containing family protein 2
Smp_140140.1	Tetraspanin/Peripherin	CD81 antigen
Smp_140150.1	AAA  ATPase domain	Membrane fusion ATPase VCP/p97 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_140180.1	GOLD domain	EMP24_GP25L 
Smp_140200.1	Transcription factor, MADS-box	Myocyte enhancer factor Mef2a core {Human (Homo sapiens) [TaxId: 9606]}
Smp_140200.2	Transcription factor, MADS-box	Myocyte enhancer factor Mef2a core {Human (Homo sapiens) [TaxId: 9606]}
Smp_140200.3	NA	NA
Smp_140240.1	NA	NA
Smp_140250.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_140260.1	CARD domain	Apaf-1 related killer DARK
Smp_140260.2	CARD domain	Apaf-1 related killer DARK
Smp_140270.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_140270.2	NAD(P)-binding domain superfamily	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_140290.1	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein	Small nuclear ribonucleoprotein Sm D1
Smp_140290.2	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein	SNRNP27 
Smp_140330.1	ENTH/VHS	Epsin 1 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140370.1	NA	RGS12_us1 
Smp_140370.2	NA	RGS12_us1 
Smp_140370.3	NA	Thymidine phosphorylase {Human (Homo sapiens) [TaxId: 9606]}
Smp_140370.4	NA	RGS12_us1 
Smp_140390.1	RNA recognition motif domain	COMPASS eCM/H2Bub nucleosome complex
Smp_140400.1	Chromo/chromo shadow domain	MALE-SPECIFIC LETHAL 3 HOMOLOG, MALE-SPECIFIC
Smp_140420.1	Putative 5-3 exonuclease	LD22664P (E.C.3.1.13.-)
Smp_140420.2	Putative 5-3 exonuclease	LD22664P (E.C.3.1.13.-)
Smp_140430.1	Adenosine/AMP deaminase domain	Adenosine deaminase (ADA) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_140430.2	Adenosine/AMP deaminase domain	Adenosine deaminase (ADA) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_140430.3	Metal-dependent hydrolase	Adenosine deaminase (ADA) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_140440.1	Vacuolar fusion protein Mon1	Mon1 
Smp_140440.2	Vacuolar fusion protein Mon1	Mon1 
Smp_140460.1	NA	WBP-1 
Smp_140460.2	NA	WBP-1 
Smp_140460.3	NA	WBP-1 
Smp_140480.1	Mitochondrial F1-F0 ATP synthase subunit F, predicted	WRW 
Smp_140490.1	FCH domain	PROTEIN KINASE C AND CASEIN
Smp_140510.1	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_140510.2	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_140510.3	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_140520.1	Ankyrin repeat	Ankyrin-1, Ankyrin-2
Smp_140520.2	Ankyrin repeat	Ankyrin-1, Ankyrin-2
Smp_140520.3	Ankyrin repeat	Ankyrin-R {Human (Homo sapiens) [TaxId: 9606]}
Smp_140530.1	AAA  ATPase domain	Replication factor C4 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_140540.1	NA	NA
Smp_140550.1	Ribosomal protein L35, mitochondrial	28S ribosomal protein S2, mitochondrial
Smp_140560.1	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_140560.2	TRAM/LAG1/CLN8 homology domain	TRAM_LAG1_CLN8 
Smp_140570.1	Kinesin motor domain	Kinesin heavy chain-like protein {Potato (Solanum tuberosum) [TaxId: 4113]}
Smp_140570.2	Kinesin motor domain	Kinesin heavy chain-like protein {Potato (Solanum tuberosum) [TaxId: 4113]}
Smp_140580.1	Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal	Pyruvate dehydrogenase kinase {Human (Homo sapiens) [TaxId: 9606]}
